customer_no,Contribution_total_giving,Tickets___Total_Amount,Tickets_Number_of_Unique_Perfs,Donor_Category
2252857,1794,9920,35,Under-Patron
2252880,10,3348.5,7,Under-Patron
2253211,1450,1579.25,4,Under-Patron
2253352,1541,9664,14,Under-Patron
2253433,550,11945.5,17,Under-Patron
2253838,4000,6240,44,Under-Patron
2253852,100,1041,4,Under-Patron
2253860,350,1045,3,Under-Patron
2254145,60,60,,Under-Patron
2254170,5900,3695,1,Under-Patron
2255023,170,2019.25,25,Under-Patron
2255261,10,652.5,1,Under-Patron
2255446,16505.5,23768.5,71,Under-Patron
2255519,10,5519.5,22,Under-Patron
2255543,100,14073.75,51,Under-Patron
2255693,3032,713,14,Under-Patron
2255757,10,245,1,Under-Patron
2255801,9371,12652.5,53,Under-Patron
2255965,4050,150,,Under-Patron
2255974,3750,7639,49,Under-Patron
2256023,7252,27060.5,5,Under-Patron
2256112,902.5,4121,34,Under-Patron
2256272,325,10638,46,Under-Patron
2256473,14.75,1020,3,Under-Patron
2256502,3101,589.5,17,Under-Patron
2256672,700,8440.5,26,Under-Patron
2257773,347.5,5800.5,39,Under-Patron
2257913,50,7734.28,18,Under-Patron
2257996,18.32,447.2,2,Under-Patron
2258254,990.5,11546,45,Under-Patron
2258293,100,3234.5,33,Under-Patron
2258306,1,117.5,1,Under-Patron
2258344,15,294,2,Under-Patron
2258355,1125,4633.5,55,Under-Patron
2258488,1,518,2,Under-Patron
2258822,19806,20825.5,58,Under-Patron
2259039,100,6543.5,8,Under-Patron
2259228,10,120,,Under-Patron
2259345,930,4854.5,,Under-Patron
2259492,37500,12365.5,39,Under-Patron
2259643,3590,80,3,Under-Patron
2259808,4425,90,,Under-Patron
2259942,49.28,1499,22,Under-Patron
2259993,295,6095,2,Under-Patron
2260277,20318.6,7926,36,Under-Patron
2260406,100,2861.5,3,Under-Patron
2260518,616,1074,21,Under-Patron
2260644,1700,7078.75,46,Under-Patron
2260704,50,316,1,Under-Patron
2260992,100,3984,1,Under-Patron
2260994,60,1406,5,Under-Patron
2261029,94,4480.5,46,Under-Patron
2261302,644.25,4986.75,42,Under-Patron
2261470,76865,2823,8,Under-Patron
2261581,23,12932,26,Under-Patron
2261587,434967.85,,,Under-Patron
2261624,650,5374.5,9,Under-Patron
2261926,6596.5,5801.25,38,Under-Patron
2261951,50,705,,Under-Patron
2261972,13559,41580.75,46,Under-Patron
2262019,264.25,9276.05,35,Under-Patron
2262287,30,1970.5,23,Under-Patron
2262465,309,11129.5,42,Under-Patron
2262675,600,5494,4,Under-Patron
2262711,517.5,8677,43,Under-Patron
2263001,3301,12392.5,48,Under-Patron
2263036,380,12350,73,Under-Patron
2263075,1576,11306.5,66,Under-Patron
2263142,35,1658,5,Under-Patron
2263665,40,1613,2,Under-Patron
2263692,161.5,1608,18,Under-Patron
2263817,8025,582,14,Under-Patron
2263827,10,210.8,,Under-Patron
2263844,18250,,,Under-Patron
2263909,1300,4237.5,17,Under-Patron
3001311,5,416,,Under-Patron
3005036,3200,,8,Under-Patron
3005163,7500,11685.7,26,Under-Patron
3005618,35,3830,5,Under-Patron
3005631,1075,8294.5,44,Under-Patron
3005810,7332,16333,1,Under-Patron
3006075,5.55,1570.6,3,Under-Patron
3006086,150,2680.5,30,Under-Patron
3006153,10225,9818,39,Under-Patron
3006547,300,6685.5,18,Under-Patron
3006574,464.5,6471.5,12,Under-Patron
3006632,20,2032,7,Under-Patron
3006646,15,1122,1,Under-Patron
3006711,9,8451,29,Under-Patron
3006795,6675,9236.5,44,Under-Patron
3006841,351,110,1,Under-Patron
3006943,3331.89,,,Under-Patron
3006949,617.5,5910.5,31,Under-Patron
3007029,8625.85,4408.65,35,Under-Patron
3007216,200,6726,36,Under-Patron
3007224,550,17261,28,Under-Patron
3007266,380,4011,17,Under-Patron
3007332,2465,19005,39,Under-Patron
3007473,205,2421,6,Under-Patron
3007526,3550,21993.5,37,Under-Patron
3007586,1,1239,3,Under-Patron
3007640,28400,8642.75,15,Under-Patron
3007840,800,1682,24,Under-Patron
3007847,57,3688.15,8,Under-Patron
3007850,41,7308.5,23,Under-Patron
3007915,190,5651,22,Under-Patron
3008009,3,373,1,Under-Patron
3008044,150,,,Under-Patron
3008342,100,2056,20,Under-Patron
3008402,30875,1452.5,2,Under-Patron
3008416,850,1483,19,Under-Patron
3008426,50065,17948.5,47,Under-Patron
3008440,8000,7889.5,40,Under-Patron
3008509,211,13796.3,18,Under-Patron
3008602,5077.6,3667.25,4,Under-Patron
3008810,38580,7747,50,Under-Patron
3008856,180.1,1788.5,1,Under-Patron
3008886,250,15963,33,Under-Patron
3008890,1340.6,14487.25,35,Under-Patron
3008941,150,9315.5,34,Under-Patron
3009000,500,6857,37,Under-Patron
3009044,475,2977.25,22,Under-Patron
3009078,34.85,578,1,Under-Patron
3009151,37,2513,13,Under-Patron
3009179,2550,8099.75,38,Under-Patron
3009742,7560,3151,33,Under-Patron
3009795,1,1072,5,Under-Patron
3009956,2010,7129,13,Under-Patron
3009986,11298,5212.5,7,Under-Patron
3010011,100,1100.75,,Under-Patron
3010034,450,592,3,Under-Patron
3010172,3545,12171,34,Under-Patron
3010242,102950.5,11019.4,33,Under-Patron
3010263,600,4523.75,19,Under-Patron
3010463,1570,1786.5,35,Under-Patron
3010481,16506,17215,33,Under-Patron
3010587,150,13048.5,5,Under-Patron
3010595,19610,9100,60,Under-Patron
3010607,250,2679.75,28,Under-Patron
3010808,4300,11879,18,Under-Patron
3010864,550,3191.5,5,Under-Patron
3011131,600,1344.5,8,Under-Patron
3011160,20,2790,2,Under-Patron
3011359,75,1198.5,,Under-Patron
3011370,30,,,Under-Patron
3011557,11000,10539.25,40,Under-Patron
3011856,425,1830,37,Under-Patron
3012094,373,7598,5,Under-Patron
3012405,46750,9807.25,44,Under-Patron
3012661,11800,1856,1,Under-Patron
3012713,17325,6200.5,19,Under-Patron
3013046,20,3665,4,Under-Patron
3013063,15,528,1,Under-Patron
3013095,2370,21275.25,26,Under-Patron
3013176,21450,5598,33,Under-Patron
3013269,27391.8,4742,34,Under-Patron
3013322,110,3515,5,Under-Patron
3013433,325,1865.5,5,Under-Patron
3013467,27,740,2,Under-Patron
3013931,1455,16979.75,24,Under-Patron
3014159,12,8005,1,Under-Patron
3014441,262.5,1110,2,Under-Patron
3014680,77.75,3021,1,Under-Patron
3015080,18,910,6,Under-Patron
3015093,50,3441.5,4,Under-Patron
3015239,150,1984.54,1,Under-Patron
3015368,119,3912.5,9,Under-Patron
3015503,50,7517.5,32,Under-Patron
3015575,6500,39514,29,Under-Patron
3015617,700,9078,33,Under-Patron
3015702,1250,24658,21,Under-Patron
3015793,7800,22976.5,16,Under-Patron
3015996,250,518,1,Under-Patron
3015999,204.8,2429.75,13,Under-Patron
3016584,11,4476.6,28,Under-Patron
3016742,350,775,3,Under-Patron
3016939,469.2,6764,9,Under-Patron
3017014,714.5,2444.75,35,Under-Patron
3017138,100,2011.5,4,Under-Patron
3017152,1048,3474,20,Under-Patron
3017163,50,1169,11,Under-Patron
3017302,5549.87,7170,26,Under-Patron
3017326,360,9023.5,27,Under-Patron
3017347,20,458,2,Under-Patron
3017562,200,5325,11,Under-Patron
3017591,2250,3757.5,28,Under-Patron
3017612,100,3155.5,28,Under-Patron
3017718,7800,6133,29,Under-Patron
3018004,120,74,1,Under-Patron
3018087,13345,17675.75,39,Under-Patron
3018392,1000,,1,Under-Patron
3018446,682,4268,22,Under-Patron
3018731,50,350,1,Under-Patron
3018781,787,3472.5,26,Under-Patron
3018941,20177.05,1325.7,5,Under-Patron
3019044,2.5,3289,25,Under-Patron
3019306,1580,9338,29,Under-Patron
3020155,750,,6,Under-Patron
3020597,55.5,4472,20,Under-Patron
3020624,9079.5,8781.25,33,Under-Patron
3020716,1250,7648,2,Under-Patron
3020724,3320.4,5414,30,Under-Patron
3020772,74.5,3775.75,7,Under-Patron
3020787,850,4667,22,Under-Patron
3020793,5500,2551.75,8,Under-Patron
3020841,1750,8623,19,Under-Patron
3020969,100,5329.3,4,Under-Patron
3021037,228.5,3699.25,21,Under-Patron
3021038,25,992,7,Under-Patron
3021228,51,4569.15,2,Under-Patron
3021254,10,2968.5,5,Under-Patron
3021297,1250,1320,11,Under-Patron
3021299,650,3787,14,Under-Patron
3021336,1096,19257.5,10,Under-Patron
3021520,30,4405,1,Under-Patron
3021575,112,6512,2,Under-Patron
3021660,1,1120,1,Under-Patron
3021672,10.25,1433,2,Under-Patron
3021783,550,8756,17,Under-Patron
3021797,25,1722,1,Under-Patron
3021931,31,929,3,Under-Patron
3021988,52.5,4899.25,11,Under-Patron
3022126,11000,158,9,Under-Patron
3022176,6250,17843.25,22,Under-Patron
3022216,183883.51,30754.28,29,Under-Patron
3022220,15,4828,8,Under-Patron
3022323,105,246.75,1,Under-Patron
3022369,140,2176.5,11,Under-Patron
3022371,38.8,1297,1,Under-Patron
3022596,415.75,410.5,1,Under-Patron
3022697,37965,,,Under-Patron
3022738,200,3914,21,Under-Patron
3022882,250,7641,2,Under-Patron
3022907,600,593,1,Under-Patron
3022908,10,310,2,Under-Patron
3022910,22.5,524,8,Under-Patron
3023026,1000,9485,1,Under-Patron
3023352,930,11522,25,Under-Patron
3023359,15,1246,,Under-Patron
3023538,13,502,1,Under-Patron
3023585,110,3753.5,21,Under-Patron
3023934,25,2017.25,22,Under-Patron
3024001,75,3168,1,Under-Patron
3024253,50,2408.5,2,Under-Patron
3024344,9807,1238,3,Under-Patron
3024527,250,5415,15,Under-Patron
3024584,145743.05,3599.45,9,Under-Patron
3024764,165,4811.5,11,Under-Patron
3024796,10,350,,Under-Patron
3024827,2450,14479,7,Under-Patron
3025051,100,1734,2,Under-Patron
3025457,475.25,6915.25,26,Under-Patron
3025862,500,9857.5,35,Under-Patron
3025867,48,3863.5,3,Under-Patron
3025913,350,4429.5,20,Under-Patron
3026333,1350,2369,20,Under-Patron
3026417,39000,13994,20,Under-Patron
3026717,100,4780,22,Under-Patron
3026785,10,306,6,Under-Patron
3026824,1070,7633,23,Under-Patron
3026884,176.4,16433,20,Under-Patron
3027366,700,4652,20,Under-Patron
3041595,1800,292.5,,Under-Patron
3047970,10,1910,20,Under-Patron
3048046,5,1396,13,Under-Patron
3048075,500,1680,4,Under-Patron
3048081,300,972.5,4,Under-Patron
3048105,5,932,3,Under-Patron
3048357,300,560,4,Under-Patron
3048574,42870,16491.5,21,Under-Patron
3048665,321,7189.5,7,Under-Patron
3048854,34000,48201.2,20,Under-Patron
3048969,600,5368.25,10,Under-Patron
3049078,29.5,1140,4,Under-Patron
3049252,350,2968.64,4,Under-Patron
3049321,2850,4781,8,Under-Patron
3049380,27250,10243,22,Under-Patron
3049573,10,753,6,Under-Patron
3049610,1500,1625.25,2,Under-Patron
3049710,75,24.5,1,Under-Patron
3049930,1500,7730,20,Under-Patron
3050111,100,253.75,3,Under-Patron
3050436,30,3136.5,14,Under-Patron
3050636,173.78,2259,1,Under-Patron
3050757,5,423,1,Under-Patron
3051022,2075,,,Under-Patron
3051127,1450,567.5,2,Under-Patron
3051583,7550,4494.5,2,Under-Patron
3051685,1,5098,1,Under-Patron
3052371,15,630,1,Under-Patron
3052405,10,2257,8,Under-Patron
3052747,27.5,5901.5,16,Under-Patron
3052856,15,1010,1,Under-Patron
3052953,2563,9720.5,9,Under-Patron
3053239,20,276,1,Under-Patron
3053402,1350,2010,4,Under-Patron
3053571,300,620,2,Under-Patron
3053615,541,7237,,Under-Patron
3053716,475,9645.5,8,Under-Patron
3054099,2645,7152,12,Under-Patron
3054473,19.9,530,1,Under-Patron
3054560,975,7760.5,2,Under-Patron
3054687,102.2,1818.25,1,Under-Patron
3054919,1000,7043.5,1,Under-Patron
3054938,44,3517.5,15,Under-Patron
3055036,150,1338.9,10,Under-Patron
3055140,2300,19867.5,21,Under-Patron
3055242,13,694,1,Under-Patron
3055429,500,951,4,Under-Patron
3055607,17.25,570,1,Under-Patron
3055636,145,470,2,Under-Patron
3055809,200,3032.5,1,Under-Patron
3055810,18.7,506,1,Under-Patron
3055835,150,560,1,Under-Patron
3055993,7250,11472,17,Under-Patron
3056023,3663,10429.25,8,Under-Patron
3056577,146.5,1234,2,Under-Patron
3057002,250,1531,3,Under-Patron
3057156,578,3898.3,14,Under-Patron
3057250,79.5,840,1,Under-Patron
3057456,13.75,980,3,Under-Patron
3057731,10,452.5,2,Under-Patron
3057892,30,1819,7,Under-Patron
3058116,97483,25186.85,16,Under-Patron
3058138,180.7,3326,18,Under-Patron
3058723,1950,6133,15,Under-Patron
3058788,32500,16552.25,15,Under-Patron
3058912,600,12437,14,Under-Patron
3058959,525,4139.5,14,Under-Patron
3058997,49543,17999.75,14,Under-Patron
3059115,20.5,670,7,Under-Patron
3059117,25,3998,14,Under-Patron
3059254,1500,,1,Under-Patron
3059262,5005,3646.5,5,Under-Patron
3059286,10550,2427,2,Under-Patron
3059595,118,3874.75,10,Under-Patron
3059683,23000,13789,5,Under-Patron
3059761,3260,652,1,Under-Patron
3059818,263,2391,2,Under-Patron
3059858,285,2798.5,5,Under-Patron
3059866,1050,5869,3,Under-Patron
3059920,350,4378.5,10,Under-Patron
3059964,27600,21004.5,17,Under-Patron
3060365,11.5,190,2,Under-Patron
3060456,50,569,2,Under-Patron
3060660,80,3886,1,Under-Patron
3060777,62,1957,6,Under-Patron
3060819,700,2445,2,Under-Patron
3060926,50,1616,2,Under-Patron
3061231,6750,,,Under-Patron
3061315,40,543,2,Under-Patron
3061512,510,1895.75,7,Under-Patron
3061638,1600,,,Under-Patron
3061676,300,3794,9,Under-Patron
3061789,3175,11510,1,Under-Patron
3061964,17530,,1,Under-Patron
3061994,14500,,,Under-Patron
3062054,430,1880,1,Under-Patron
3062065,509.6,10388.25,10,Under-Patron
3062104,2000,,,Under-Patron
3062162,1118,23137,10,Under-Patron
3062542,60,4885.5,2,Under-Patron
3062579,41,6586,1,Under-Patron
3062769,1600,,,Under-Patron
3062797,475,2796.5,7,Under-Patron
3062838,250,3233.5,2,Under-Patron
3062972,2524,8330.25,2,Under-Patron
3063064,450,,,Under-Patron
3063087,1500,7823.65,2,Under-Patron
3063103,3800,6570.5,8,Under-Patron
3063195,1497.8,13116,10,Under-Patron
3063340,28,4230.5,7,Under-Patron
3063350,7500,8357,8,Under-Patron
3063380,43.5,4577.5,2,Under-Patron
3063411,500,410,2,Under-Patron
3063557,150,1660,2,Under-Patron
3063579,700,5276,2,Under-Patron
3063585,50,795,1,Under-Patron
3063619,248.35,3895.75,3,Under-Patron
3063648,52754.37,9430.75,11,Under-Patron
3063722,200,1354.5,2,Under-Patron
3063978,600,2893,4,Under-Patron
3064145,375,300,1,Under-Patron
3064284,17.5,9653.5,8,Under-Patron
3064395,350662.5,81336.5,5,Under-Patron
3064402,3,382,1,Under-Patron
3064503,12,508,1,Under-Patron
3064570,50,3278,7,Under-Patron
3064576,112,3533.25,10,Under-Patron
3064721,35,903,1,Under-Patron
3064844,1275,3676.5,2,Under-Patron
3064895,17.5,916,2,Under-Patron
3064987,1325,11939,7,Under-Patron
3065200,2.5,42.5,,Under-Patron
3065247,309,3422.5,8,Under-Patron
3065498,5,1032,7,Under-Patron
3065576,1114,10918.75,3,Under-Patron
3065777,475,5897.5,8,Under-Patron
3065890,525,6317.19,1,Under-Patron
3065900,1850,5574.5,8,Under-Patron
3065965,3999,5312,1,Under-Patron
3066077,100,3149,1,Under-Patron
3066078,270,190,1,Under-Patron
3066169,1150,4836,8,Under-Patron
3066277,1,442,1,Under-Patron
3066508,1,958.5,1,Under-Patron
3066633,578,5166,8,Under-Patron
3066875,10,700,3,Under-Patron
3066994,2722.5,11630,2,Under-Patron
3067189,1100,,,Under-Patron
3067286,28,15338.5,7,Under-Patron
3067312,194.6,8971.53,7,Under-Patron
3067590,684.55,1379,1,Under-Patron
3067613,804,9611.25,1,Under-Patron
3067697,6659,,,Under-Patron
3067752,950,,,Under-Patron
3067793,233.5,650,1,Under-Patron
3067794,50,4905.75,7,Under-Patron
3067804,250,4053,1,Under-Patron
3067809,270,2381,1,Under-Patron
3067861,2125,325,1,Under-Patron
3067892,244.4,5496.5,1,Under-Patron
3068105,1787.5,13668,2,Under-Patron
3068108,17505,10752.5,7,Under-Patron
3068117,8.75,116,1,Under-Patron
3068223,694,2714,7,Under-Patron
3068335,1760,1133.25,1,Under-Patron
3068340,57.5,1099.8,,Under-Patron
3068410,100,2679,1,Under-Patron
3068469,10180,1912.5,1,Under-Patron
3068591,20,2823,1,Under-Patron
3068600,12143.7,1212,6,Under-Patron
3068818,10,601,,Under-Patron
3068866,12,1982.4,1,Under-Patron
3068915,5,846,,Under-Patron
3068994,26.5,1735,1,Under-Patron
3068997,290,213.25,1,Under-Patron
3069006,1000,4894.5,4,Under-Patron
3069015,185,630,1,Under-Patron
3069217,10455,4097.15,6,Under-Patron
3069226,2900,56,1,Under-Patron
3069507,190,635,1,Under-Patron
3069703,1750,4066.1,1,Under-Patron
3069820,75,,,Under-Patron
3069831,912,340,,Under-Patron
3069883,700,1336,,Under-Patron
3069964,312.4,6758,,Under-Patron
3070295,42650,20333,,Under-Patron
3070350,19.55,209,,Under-Patron
3070452,10260,12970.5,,Under-Patron
3070624,139.5,2481,,Under-Patron
3070712,11,2970,,Under-Patron
3070865,63.2,1204,,Under-Patron
3070869,567.5,1492.5,,Under-Patron
3070975,110,661,,Under-Patron
3071022,12,412,,Under-Patron
3071127,5,562,,Under-Patron
3071129,3200,1595,,Under-Patron
3071171,101.5,1255,,Under-Patron
3071409,1650,4933.5,,Under-Patron
3071457,650,4325.5,,Under-Patron
3071485,28050.5,5994,,Under-Patron
3071565,5425,7488,,Under-Patron
3071791,27948.25,480,,Under-Patron
3071837,1059,1080,,Under-Patron
3071934,20454,12024.5,,Under-Patron
3071950,18.6,271,,Under-Patron
3072020,2501,8556,,Under-Patron
3072031,33,315,,Under-Patron
3072125,11,2769,,Under-Patron
3072241,400,2279.2,,Under-Patron
3072299,800,445.5,,Under-Patron
3072457,100,5750.5,,Under-Patron
3072512,25,1907,,Under-Patron
3072553,6300,18174.5,,Under-Patron
3072625,4.75,218.75,,Under-Patron
3072755,17.5,675,,Under-Patron
3072901,12.5,1245,,Under-Patron
3072921,7,3454,,Under-Patron
3073031,15,90,,Under-Patron
3073096,151.6,2074.5,,Under-Patron
3073163,2515,510,,Under-Patron
3073170,25566,630,,Under-Patron
3073195,25,510,,Under-Patron
3073387,1150,90,,Under-Patron
3073577,152.4,5798,,Under-Patron
3073790,2710,7773.5,,Under-Patron
3073813,4,430,,Under-Patron
3073904,3500,11375,,Under-Patron
3074241,54,1006,,Under-Patron
3075101,100.6,5925.5,,Under-Patron
3075181,60,1277.75,,Under-Patron
3075204,100,13376.75,,Under-Patron
3075230,2000,9258.75,,Under-Patron
3075240,620.5,3067.5,,Under-Patron
3075315,250,2617,,Under-Patron
3075416,1624,6017,,Under-Patron
3075468,25,688,,Under-Patron
3075645,500,1385,,Under-Patron
3075659,35,700,,Under-Patron
3075915,23.25,695,,Under-Patron
3076058,14,796,,Under-Patron
3076087,41.5,2420,,Under-Patron
3076157,815,2543.75,,Under-Patron
3076184,400,1116,,Under-Patron
3076191,190,2754,,Under-Patron
3076200,17.5,370,,Under-Patron
3076220,10,88,,Under-Patron
3076361,625,,,Under-Patron
3076364,200,,,Under-Patron
3076492,5,247,,Under-Patron
3076498,10,976,,Under-Patron
3076524,100,1988.4,,Under-Patron
3076537,4693,7328.25,,Under-Patron
3076538,80,2560,,Under-Patron
3076653,150,1452,,Under-Patron
3076702,5,220,,Under-Patron
3076710,5100,4898,,Under-Patron
3076734,615,3709.75,,Under-Patron
3076739,400,5074,,Under-Patron
3076745,165,645,,Under-Patron
3076748,481,3137.8,,Under-Patron
3076877,193,9547,,Under-Patron
3076933,2350,2670,,Under-Patron
3077025,10,997,,Under-Patron
3077146,5,246,,Under-Patron
3077266,96.4,1074,,Under-Patron
3077306,3,150,,Under-Patron
3077318,20,505,,Under-Patron
3077517,87,1464,,Under-Patron
3077523,25,416,,Under-Patron
3077528,211.5,776,,Under-Patron
3077596,10,665,,Under-Patron
3077661,50,5048,,Under-Patron
3077747,96.5,2936,,Under-Patron
3077806,1,300,,Under-Patron
3077809,16,80,,Under-Patron
3077871,30,1466,,Under-Patron
3077976,1,840,,Under-Patron
3078025,57,1888,,Under-Patron
3078124,10,1342,,Under-Patron
3078141,100,7224,,Under-Patron
3078185,9320,4011.2,,Under-Patron
3078269,80,6470,,Under-Patron
3078546,63.2,2085,,Under-Patron
3078573,700,,,Under-Patron
3078735,200,1821,,Under-Patron
3078737,5,510,,Under-Patron
3078814,50,15,,Under-Patron
3078822,25,732,,Under-Patron
3079007,1700,160,,Under-Patron
3079124,33,4597.5,,Under-Patron
3079159,100,1834,,Under-Patron
3079177,1,1518,,Under-Patron
3079207,350,2860,,Under-Patron
3079250,10,1268.15,,Under-Patron
3079255,3.99,556,,Under-Patron
3079483,50,2172,,Under-Patron
3079496,28.5,452,,Under-Patron
3079744,5400,1601.5,,Under-Patron
3079915,950,982.25,,Under-Patron
3079920,10,235,,Under-Patron
3079931,50,638,,Under-Patron
3079933,28,436,,Under-Patron
3079947,16.1,659,,Under-Patron
3079979,25,1608,,Under-Patron
3079999,1150,,,Under-Patron
3080019,15500,9777.5,,Under-Patron
3080043,75,645,,Under-Patron
3080345,5000,9989,,Under-Patron
3080557,518.5,1234.75,,Under-Patron
3080576,250,745,,Under-Patron
3080598,15,171,,Under-Patron
3080734,15,742,,Under-Patron
3080775,375,3644.5,,Under-Patron
3080787,4825,3709.5,,Under-Patron
3080789,300,1911.5,,Under-Patron
3080793,50,1083.5,,Under-Patron
3081020,55,2710,,Under-Patron
3081319,3250,180,,Under-Patron
3081539,500.8,3429.5,,Under-Patron
3081938,13,172,,Under-Patron
3082002,20,1864,,Under-Patron
3082016,76.6,2997,,Under-Patron
3082092,510.9,2813,,Under-Patron
3082241,5,1073,,Under-Patron
3082246,26555.3,6277,,Under-Patron
3082292,250,1381.5,,Under-Patron
3082295,24670,7085.1,,Under-Patron
3082298,200,4161,,Under-Patron
3082332,701,622.25,,Under-Patron
3082442,25218.75,11425.55,,Under-Patron
3082461,3265,6110.5,,Under-Patron
3082509,100,2127,,Under-Patron
3082535,3250,7702.2,,Under-Patron
3082548,350,1996,,Under-Patron
3082610,372,1642,,Under-Patron
3082767,17.5,7368.65,,Under-Patron
3082909,295,295,,Under-Patron
3082970,12574.6,6828,,Under-Patron
3083031,74.5,3932,,Under-Patron
3083110,500,400,,Under-Patron
3083123,800,,,Under-Patron
3083227,5,253.2,,Under-Patron
3083287,18254.5,14931.18,,Under-Patron
3083304,10367.56,4888.25,,Under-Patron
3083317,930,163,,Under-Patron
3083346,100,155,,Under-Patron
3083389,393.4,3904,,Under-Patron
3083490,8500,6456.25,,Under-Patron
3083598,50,688.25,,Under-Patron
3083811,10,4013,,Under-Patron
3083869,10,1695,,Under-Patron
3083876,458,6027.5,,Under-Patron
3083881,994,6276,,Under-Patron
3083909,11120,5565.3,,Under-Patron
3083974,225.1,6710,,Under-Patron
3084280,340.65,2674,,Under-Patron
3084459,1356.4,15450,,Under-Patron
3084542,3.25,47.5,,Under-Patron
3084576,13,322,,Under-Patron
3084622,10,194,,Under-Patron
3084635,10,856,,Under-Patron
3084824,900,,,Under-Patron
3084832,256.5,3323,,Under-Patron
3084834,160.2,2597,,Under-Patron
3084871,19.1,1011,,Under-Patron
3084880,110,2700,,Under-Patron
3084918,500,834,,Under-Patron
3085055,220,2120.5,,Under-Patron
3085098,890.5,6961.25,,Under-Patron
3085151,1065,9348,,Under-Patron
3085176,10,158,,Under-Patron
3085285,100,2245,,Under-Patron
3085321,3300,3121,,Under-Patron
3085446,250,4103,,Under-Patron
3085493,900,1755,,Under-Patron
3085648,10,5444,,Under-Patron
3085700,9866.5,7357,,Under-Patron
3085899,166.5,2324,,Under-Patron
3085904,255,11033.1,,Under-Patron
3085988,500,170,,Under-Patron
3086055,278,3129.25,,Under-Patron
3086144,94,1562.55,,Under-Patron
3086153,24757,2980.5,,Under-Patron
3086233,25,249,,Under-Patron
3086244,69.6,4717,,Under-Patron
3086303,3550,80,,Under-Patron
3086549,2095,1053.5,,Under-Patron
3086573,4650,7268,,Under-Patron
3086690,50,770,,Under-Patron
3086733,300,429,,Under-Patron
3086736,17034.9,4782,,Under-Patron
3086785,25,2898,,Under-Patron
3086824,35409.79,3453.2,,Under-Patron
3086869,4.5,242.5,,Under-Patron
3086927,602.4,1996,,Under-Patron
3086950,600,2199.5,,Under-Patron
3087070,250,1118,,Under-Patron
3087168,51.1,571,,Under-Patron
3087196,129,516,,Under-Patron
3087208,1.2,3291.8,,Under-Patron
3087285,422,3086.75,,Under-Patron
3087308,50,931.25,,Under-Patron
3087319,10,276,,Under-Patron
3087320,400,4878,,Under-Patron
3087325,50,642,,Under-Patron
3087433,65.5,448.5,,Under-Patron
3087712,1587.68,,,Under-Patron
3087713,12,934,,Under-Patron
3087858,1850,,,Under-Patron
3087874,201,763,,Under-Patron
3087909,10,4665,,Under-Patron
3087948,520,1841.5,,Under-Patron
3087949,28,1304,,Under-Patron
3088001,500,6515.5,,Under-Patron
3088133,17.5,2260,,Under-Patron
3088218,5.4,1537.6,,Under-Patron
3088226,250,11671,,Under-Patron
3088271,216,2757,,Under-Patron
3088284,2538,3820.95,,Under-Patron
3088413,5,306,,Under-Patron
3088431,175,280,,Under-Patron
3088449,7500,960,,Under-Patron
3088459,100,859.5,,Under-Patron
3088466,100,342,,Under-Patron
3088506,3600,704,,Under-Patron
3088523,16,3459,,Under-Patron
3088594,225,,,Under-Patron
3088704,10000,9548,,Under-Patron
3088768,50,8628.5,,Under-Patron
3088864,100,1016.5,,Under-Patron
3089017,14259.35,2519.5,,Under-Patron
3089173,100,2249.26,,Under-Patron
3089396,350,335,,Under-Patron
3089484,50,400,,Under-Patron
3089784,1555.94,782,,Under-Patron
3089930,350,2534.24,,Under-Patron
3089959,450,4464.75,,Under-Patron
3090187,500,520,,Under-Patron
3090196,21,195,,Under-Patron
3090280,1500,,,Under-Patron
3090562,1200,,,Under-Patron
3090782,2,638,,Under-Patron
3090807,215,2973.25,,Under-Patron
3090817,643.7,741,,Under-Patron
3090858,50,977.5,,Under-Patron
3091084,11500,,,Under-Patron
3091086,97.6,5964,,Under-Patron
3091482,13743.5,17260,,Under-Patron
3091544,6231.81,,,Under-Patron
3091615,850,2417,,Under-Patron
3091622,24.9,264,,Under-Patron
3091703,114,5306,,Under-Patron
3091708,42.47,,,Under-Patron
3092003,50,6162,,Under-Patron
3092044,190,2422,,Under-Patron
3092068,4700,1379,,Under-Patron
3092102,50,4735.5,,Under-Patron
3092103,600,3153,,Under-Patron
3092133,1025,4607,,Under-Patron
3092206,700.5,3030.5,,Under-Patron
3092265,28475,1847.75,,Under-Patron
3092342,1100,3150,,Under-Patron
3092442,350,1115,,Under-Patron
3092481,50,870,,Under-Patron
3092524,50,3361.5,,Under-Patron
3092534,100,1054,,Under-Patron
3092604,25,1222,,Under-Patron
3092628,12617.13,,,Under-Patron
3092775,600,4262.5,,Under-Patron
3092888,50,,,Under-Patron
3092943,180.6,1792,,Under-Patron
3092969,250,1950,,Under-Patron
3093008,300,940,,Under-Patron
3093013,100,2912,,Under-Patron
3093020,5,430,,Under-Patron
3093504,50,3444.25,,Under-Patron
3093764,250,776,,Under-Patron
3093773,22.65,384,,Under-Patron
3093903,750,9989,,Under-Patron
3094194,6100,17302,,Under-Patron
3094262,1010,1250,,Under-Patron
3094264,210,4977.5,,Under-Patron
3094385,882.4,8271,,Under-Patron
3094394,175,25,,Under-Patron
3094437,23.5,601.75,,Under-Patron
3094583,50,1052,,Under-Patron
3094597,3000,997.25,,Under-Patron
